TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3592.0455,77.4903,0.1921,2.5558,77.2454,0.7967,0.0001,0.0276
3592.1953,74.6096,0.1893,2.5382,76.1134,0.7397,0.0001,0.0285
3592.3451,71.7288,0.1865,2.5207,74.9814,0.6827,0.0001,0.02
3592.495,70.7041,0.1864,2.506,74.2187,0.646,0.0001,0.0107
3592.6448,73.3393,0.1918,2.4969,74.1842,0.6493,0.0001,0.0373
3592.7946,75.9745,0.1971,2.4878,74.1498,0.6525,0.0001,0.5489
3592.9445,78.5855,0.2024,2.4787,74.1117,0.6555,0.0002,1.2015
3593.0943,73.5442,0.184,2.4648,72.939,0.5323,0.0288,0.9779
3593.2441,68.5029,0.1655,2.451,71.7663,0.4091,0.0574,0.7544
3593.394,63.4616,0.1471,2.4372,70.5936,0.2858,0.086,0.4057
3593.5438,60.8764,0.1383,2.4386,70.2895,0.2469,0.0914,141.722
3593.6936,59.5018,0.1343,2.4475,70.4134,0.2496,0.0853,262.8625
3593.8435,58.1272,0.1303,2.4564,70.5374,0.2522,0.0792,123.4882
3593.9933,58.8218,0.1331,2.4665,70.9575,0.2907,0.0676,0.1339
3594.1431,63.5964,0.1493,2.4789,71.9615,0.3998,0.0451,1.2854
3594.293,68.371,0.1656,2.4912,72.9655,0.5089,0.0226,2.437
3594.4428,73.1248,0.1818,2.5035,73.9664,0.6175,0.0001,3.5885
3594.5926,71.3108,0.1824,2.4774,74.0134,0.5556,0.0151,4.7401
3594.7425,69.4969,0.1829,2.4513,74.0603,0.4936,0.0301,6.2399
3594.8923,67.6829,0.1835,2.4251,74.1073,0.4316,0.0451,6.626
3595.0422,66.6795,0.179,2.414,73.8391,0.3824,0.0624,5.1159
3595.192,66.0756,0.1721,2.4102,73.4157,0.3394,0.0809,2.5728
3595.3418,65.4717,0.1651,2.4064,72.9922,0.2965,0.0993,3.1921
3595.4917,65.0251,0.1584,2.4015,72.6423,0.2519,0.1149,16.0635
3595.6415,64.8889,0.1522,2.3942,72.4376,0.204,0.1246,29.075
3595.7913,64.7526,0.146,2.3869,72.2329,0.156,0.1344,33.2518
3595.9412,64.6084,0.1398,2.3797,72.0293,0.1082,0.1441,31.0484
3596.091,61.9438,0.141,2.3836,72.1531,0.1238,0.1399,28.8925
3596.2408,59.2793,0.1423,2.3875,72.277,0.1393,0.1357,26.7954
3596.3907,56.6147,0.1435,2.3913,72.4008,0.1548,0.1316,46.4436
